NSG/21/0105,125000,10001
NSG/21/0171,125000,10002
NSG/21/0172,125000,10003
NSG/21/0093,125000,10004
NSG/21/0001,126000,10005
NSG/21/0173,127000,10006
NSG/21/0002,128000,10007
NSG/21/0174,129000,10008
NSG/21/0139,130000,10009
NSG/21/0175,131000,10010
NSG/21/0205,132000,10011
NSG/21/0176,133000,10012
NSG/21/0212,134000,10013
NSG/21/0082,135000,10014
MDW/21/0001,136000,10015
NSG/21/0224,137000,10016
NSG/21/0101,138000,10017
NSG/21/0097,139000,10018
NSG/21/0110,140000,10019
NSG/21/0138,141000,10020
NSG/21/0177,142000,10021
NSG/21/0221,143000,10022
NSG/21/0085,144000,10023
NSG/21/0079,145000,10024
NSG/21/0096,146000,10025
NSG/21/0108,147000,10026
NSG/21/0134,148000,10027
NSG/21/0178,149000,10028
NSG/21/0179,150000,10029
NSG/21/0111,151000,10030
NSG/21/0099,152000,10031
NSG/21/0180,153000,10032
NSG/21/0100,154000,10033
NSG/21/0181,155000,10034
NSG/21/0182,156000,10035
NSG/21/0183,157000,10036
NSG/21/0184,158000,10037
NSG/21/0157,159000,10038
NSG/21/0086,160000,10039
NSG/21/0185,161000,10040
NSG/21/0089,162000,10041
NSG/21/0187,163000,10042
NSG/21/0159,164000,10043
NSG/21/0188,165000,10044
NSG/21/0204,166000,10045
NSG/21/0189,167000,10046
NSG/21/0190,168000,10047
NSG/21/0003,169000,10048
NSG/21/0167,170000,10049
NSG/21/0087,171000,10050
NSG/21/0191,172000,10051
NSG/21/0140,173000,10052
NSG/21/0192,174000,10053
NSG/21/0137,175000,10054
NSG/21/0090,176000,10055
NSG/21/0206,177000,10056
NSG/21/0199,178000,10057
NSG/21/0203,179000,10058
NSG/21/0083,180000,10059
NSG/21/0193,181000,10060
NSG/21/0194,182000,10061
NSG/21/0084,183000,10062
NSG/21/0195,184000,10063
NSG/21/0196,185000,10064
NSG/21/0104,186000,10065
NSG/21/0094,187000,10066
NSG/21/0197,188000,10067
NSG/21/0078,189000,10068
NSG/21/0106,190000,10069
NSG/21/0095,191000,10070
NSG/21/0092,192000,10071
NSG/21/0166,193000,10072
NSG/21/0235,194000,10073
NSG/21/0198,195000,10074
